time,xco2_ppm,xco2_ppm_error,xch4_ppm,xch4_ppm_error
2012-09-20,392.28857,0.40714288,1792.2715,0.0019857143
2012-09-21,392.45,0.46428573,1791.25,0.0020714286
2012-09-22,392.36667,0.42962962,1798.4814,0.0021111113
2012-09-23,391.2746,0.47936508,1803.1111,0.002
2012-09-24,391.14557,0.8291139,1807.1139,0.0036835445
2012-09-25,,,,
2012-09-26,393.5,0.7,1821.0,0.003
2012-09-27,393.0844,0.47272727,1816.7792,0.0021298702
2012-09-28,391.89108,0.43465346,1805.2871,0.002
2012-09-29,392.63235,0.5029412,1812.9608,0.0020882355
2012-09-30,391.84137,0.43395063,1816.9814,0.0020308644
2012-10-01,391.47446,0.42553192,1806.2128,0.0020106384
2012-10-02,392.78522,0.40173915,1802.3566,0.002
2012-10-03,393.00177,0.50535715,1807.9286,0.0020892858
2012-10-04,393.0096,0.5173077,1809.5,0.0021153847
2012-10-05,393.09564,0.43913043,1820.2174,0.0021304348
2012-10-06,392.8,2.2,1814.0,0.01
2012-10-07,392.4382,0.3539326,1819.5955,0.0011235955
2012-10-08,392.43076,1.3307692,1821.3846,0.005692308
2012-10-09,392.5,1.5,1813.0,0.0063333334
2012-10-10,,,,
2012-10-11,,,,
2012-10-12,,,,
2012-10-13,392.69495,0.3936709,1821.2911,0.0010506329
2012-10-14,392.1755,0.3979592,1819.449,0.0018571429
2012-10-15,391.7725,0.49,1812.7,0.0020750002
2012-10-16,392.54544,0.3939394,1826.1212,0.001818182
2012-10-17,392.66217,0.51216215,1820.1351,0.002
2012-10-18,394.775,0.625,1825.5,0.00275
2012-10-19,392.53098,0.6,1818.7887,0.0020140845
2012-10-20,392.26666,0.6666667,1815.0,0.002
2012-10-21,392.1,0.61,1817.0,0.002
2012-10-22,,,,
2012-10-23,393.18887,0.35555556,1822.4445,0.0023333335
2012-10-24,392.78,1.8290908,1820.6364,0.008290909
2012-10-25,392.47733,0.47066668,1809.6267,0.0023066667
2012-10-26,392.93637,0.5064935,1823.5454,0.001987013
2012-10-27,393.08896,1.3227586,1823.869,0.0068137934
2012-10-28,393.6129,0.42789117,1827.0476,0.0021360544
2012-10-29,394.6,0.675,1828.6666,0.0035
2012-10-30,394.63126,1.05,1824.2031,0.004859375
2012-10-31,395.49033,0.91935486,1830.2258,0.004225807
2012-11-01,394.94763,0.62857145,1830.1904,0.003
2012-11-02,394.68182,1.1090909,1824.8182,0.0049090907
2012-11-03,394.06766,1.1294118,1820.6104,0.0059926473
2012-11-04,392.40915,0.5091549,1806.7958,0.0013732394
2012-11-05,392.45193,0.5038961,1807.1559,0.002
2012-11-06,393.73077,0.4217949,1815.5385,0.002
2012-11-07,395.78055,0.5013889,1822.4305,0.002013889
2012-11-08,394.55,0.7,1811.0,0.003
2012-11-09,393.79376,1.36875,1823.125,0.006
2012-11-10,393.9049,0.5688525,1818.8853,0.0020983608
2012-11-11,393.28888,0.6652778,1817.8055,0.0025277778
2012-11-12,393.6074,0.49506173,1821.5679,0.0020123457
2012-11-13,393.52466,0.4808219,1823.137,0.0027534247
2012-11-14,394.05554,1.65,1823.1111,0.0065
2012-11-15,,,,
2012-11-16,394.78,0.48,1834.0,0.002
2012-11-17,,,,
2012-11-18,394.47778,0.9111111,1822.7222,0.005
2012-11-19,394.48196,0.5147541,1826.4426,0.002
2012-11-20,394.30832,0.40138888,1824.3611,0.002
2012-11-21,396.67612,0.5238806,1840.3284,0.003074627
2012-11-22,395.52112,0.6267606,1829.324,0.002
2012-11-23,394.7103,0.47941178,1821.8823,0.0027352942
2012-11-24,393.22427,0.78571427,1808.6571,0.0032000002
2012-11-25,394.68985,0.6115942,1822.1884,0.0022753624
2012-11-26,395.6811,0.94054055,1827.7838,0.004135135
2012-11-27,394.68,1.36,1813.8,0.0056
2012-11-28,395.56113,0.79444444,1818.9445,0.003
2012-11-29,,,,
2012-11-30,,,,
2012-12-01,,,,
2012-12-02,,,,
2012-12-03,394.2,0.8,1810.0,0.004
2012-12-04,394.96667,0.56,1808.6,0.002
2012-12-05,396.5672,0.34218752,1821.7031,0.0020156251
2012-12-06,,,,
2012-12-07,,,,
2012-12-08,,,,
2012-12-09,,,,
2012-12-10,395.60733,0.51707315,1817.9512,0.002
2012-12-11,,,,
2012-12-12,,,,
2012-12-13,,,,
2012-12-14,,,,
2012-12-15,,,,
2012-12-16,,,,
2012-12-17,,,,
2012-12-18,,,,
2012-12-19,,,,
2012-12-20,394.3596,0.87659574,1820.1915,0.003212766
2012-12-21,394.7282,0.46923077,1816.4872,0.002
2012-12-22,397.55884,0.6882353,1832.2941,0.003
2012-12-23,,,,
2012-12-24,,,,
2012-12-25,,,,
2012-12-26,395.57144,0.49714285,1820.9429,0.002
2012-12-27,395.0,1.2894737,1810.7632,0.0051842104
2012-12-28,395.31818,1.0022727,1815.2727,0.0055
2012-12-29,,,,
2012-12-30,395.2,0.68333334,1809.75,0.003
2012-12-31,396.3702,0.5,1825.9788,0.003
