,xch4_biascorrected,xch4_uncertainty
2009-04-23 10:23:11.760,1.7759205,0.006219682
2009-04-23 10:23:51.896,1.7880425,0.006946947
2009-04-23 10:27:03.651,1.7695886,0.0073814327
2009-04-23 10:27:39.326,1.7595663,0.008475067
2009-04-23 10:27:43.787,1.7653629,0.008132604
2009-04-23 10:28:15.001,1.777249,0.008179543
2009-04-23 10:28:19.462,1.779962,0.006504937
2009-04-23 10:28:50.677,1.7690941,0.007974037
2009-04-23 10:28:55.137,1.7775598,0.0076472256
2009-04-23 10:29:17.434,1.784658,0.0071260147
2009-04-23 10:29:21.894,1.7831843,0.007073966
2009-04-23 10:29:35.272,1.7814363,0.006702498
2009-04-23 10:29:39.731,1.7822248,0.008510245
2009-04-23 10:30:15.407,1.761847,0.006852508
2009-04-23 10:30:51.082,1.7760233,0.0066281883
2009-04-23 10:38:30.404,1.7509824,0.005904057
2009-04-23 10:38:57.160,1.751781,0.006018025
2009-04-23 10:40:30.809,1.7472693,0.006391184
2009-04-23 10:40:35.269,1.749615,0.0066236304
2009-04-23 10:40:39.728,1.7533553,0.0062588346
2009-04-23 10:40:44.187,1.7501725,0.006140515
2009-04-23 10:41:19.863,1.7408609,0.0063088383
2009-04-24 10:53:54.342,1.7825109,0.0060277674
2009-04-24 10:55:54.747,1.7757654,0.0061347387
2009-04-24 11:00:49.069,1.784498,0.0069246874
2009-04-24 11:01:15.826,1.7957363,0.0069045196
2009-04-25 10:04:43.162,1.7596965,0.006195969
2009-04-25 10:05:05.458,1.7611401,0.006336437
2009-04-25 10:05:14.377,1.7670211,0.0059283343
2009-04-25 10:05:23.296,1.7488482,0.0067071067
2009-04-25 10:08:17.217,1.7471108,0.0063300156
2009-04-25 10:08:57.350,1.7339272,0.0064213765
2009-04-25 11:25:03.759,1.7729462,0.0069153034
2009-04-25 11:27:30.922,1.7665887,0.006423233
2009-04-26 10:24:57.052,1.7721486,0.0071866415
2009-04-26 10:28:57.862,1.7720686,0.008380209
2009-04-26 10:29:11.242,1.8068707,0.006704276
2009-04-26 10:30:00.295,1.7936373,0.006553688
2009-04-26 10:37:48.537,1.7638454,0.006094694
2009-04-26 10:37:57.456,1.761347,0.0056727068
2009-04-26 10:38:01.914,1.7646061,0.0056952583
2009-04-26 10:38:06.376,1.7496567,0.006217707
2009-04-26 10:38:46.508,1.7556466,0.005752271
2009-04-26 10:39:22.184,1.7525867,0.00570536
2009-04-26 10:39:26.645,1.7488803,0.005943431
2009-04-26 10:39:31.102,1.7498531,0.0059015
2009-04-26 10:39:35.564,1.7400851,0.00568128
2009-04-26 10:40:11.239,1.7349197,0.005787951
2009-04-26 10:40:20.158,1.7272648,0.0064837
2009-04-26 11:54:39.502,1.7567211,0.011593477
2009-04-26 11:55:15.177,1.766237,0.0067774467
2009-04-26 11:55:19.634,1.7754468,0.00833685
2009-04-26 11:55:24.096,1.7394686,0.007778163
2009-04-26 11:56:08.689,1.7761742,0.0066045625
2009-04-27 10:52:23.506,1.7629122,0.0062526525
2009-04-27 10:52:27.967,1.7739389,0.0063767144
2009-04-27 10:52:32.425,1.7628726,0.006453938
2009-04-27 10:52:36.887,1.7692142,0.0066307825
2009-04-27 10:52:41.344,1.7559044,0.0064583668
2009-04-27 10:53:03.643,1.7831379,0.0067831757
2009-04-27 10:53:08.100,1.7915156,0.006353285
2009-04-27 10:53:12.562,1.7706519,0.0062926044
2009-04-27 10:53:17.019,1.7661464,0.006200058
2009-04-27 10:53:21.480,1.7658232,0.006300632
2009-04-27 10:53:43.776,1.780592,0.0061070337
2009-04-27 10:57:17.828,1.7750996,0.0067196023
2009-04-27 10:57:22.290,1.7895659,0.0061084228
2009-04-27 10:57:49.046,1.7873029,0.009288888
2009-04-27 10:57:57.964,1.8010104,0.005822147
2009-04-27 10:58:06.884,1.7545352,0.007290028
2009-04-27 10:58:11.342,1.7593426,0.007078988
2009-04-27 10:58:15.803,1.7728604,0.0059010624
2009-04-27 10:58:20.260,1.7875841,0.006018197
2009-04-27 10:58:33.641,1.792168,0.005556003
2009-04-27 10:58:38.098,1.7943407,0.005620472
2009-04-27 10:58:42.559,1.7816936,0.0070349597
2009-04-27 10:58:55.936,1.7830455,0.0062933317
2009-04-27 10:59:00.397,1.8065645,0.005645594
2009-04-27 10:59:04.854,1.7923374,0.00542128
2009-04-27 10:59:18.234,1.7924076,0.005962325
2009-04-27 10:59:22.692,1.8009435,0.005694526
2009-04-27 10:59:44.991,1.7989571,0.006501919
2009-04-28 10:07:04.251,1.7395979,0.006218015
2009-04-28 10:07:08.709,1.729612,0.0058795307
2009-04-28 10:07:13.170,1.7461421,0.0065335785
2009-04-28 10:07:48.846,1.7379171,0.0059678303
2009-04-28 11:24:04.181,1.7628542,0.0064244447
2009-04-28 11:24:08.639,1.7725761,0.0064691883
2009-04-28 11:24:13.100,1.7893374,0.0070128413
2009-04-28 11:24:17.557,1.7717341,0.0064787227
2009-04-28 11:24:44.314,1.7696562,0.006320754
2009-04-28 11:24:48.775,1.8030196,0.0060633537
2009-04-28 11:24:53.233,1.7595906,0.0063837934
2009-04-28 11:24:57.694,1.7559581,0.006075901
2009-04-28 11:25:02.152,1.7842418,0.0067899455
2009-04-29 10:28:11.090,1.7712905,0.008007671
2009-04-29 10:28:46.765,1.7718567,0.007457215
2009-04-29 10:28:51.226,1.7909477,0.0068608676
2009-04-29 10:29:13.520,1.7775061,0.0076034674
2009-04-29 10:29:17.982,1.7987717,0.006520409
2009-04-29 10:35:41.484,1.7536626,0.006941283
2009-04-29 10:35:50.402,1.7679452,0.0065032765
2009-04-29 10:38:57.694,1.749356,0.005647292
2009-04-29 10:39:02.151,1.7475021,0.005785163
2009-04-29 10:39:06.612,1.7517883,0.0058084414
2009-04-29 10:39:11.070,1.7395957,0.0056511406
2009-04-29 10:39:42.288,1.7443265,0.0058872746
2009-04-29 10:39:46.744,1.7499694,0.0062594083
2009-04-29 10:39:51.206,1.7480934,0.0056551592
2009-04-29 10:39:55.664,1.7566903,0.007324854
2009-04-29 10:40:26.880,1.7511685,0.0066622035
2009-04-29 10:40:31.338,1.7563504,0.0064559416
2009-04-29 10:40:35.800,1.7512615,0.006337144
2009-04-29 10:40:40.257,1.7483425,0.0060980543
2009-04-29 11:53:44.319,1.7893058,0.012650281
2009-04-29 11:56:02.558,1.7578028,0.0063328887
2009-04-30 10:49:50.180,1.7331332,0.00867509
2009-04-30 10:57:42.880,1.7692785,0.006951456
2009-04-30 10:58:14.097,1.7798529,0.0069884397
2009-05-01 10:05:28.900,1.7423743,0.007216451
2009-05-01 10:05:42.281,1.7571816,0.0065114046
2009-05-01 10:06:17.956,1.755528,0.006835279
2009-05-01 10:06:22.414,1.7390206,0.006301258
2009-05-01 10:07:02.552,1.742323,0.006399408
2009-05-01 10:07:07.009,1.7405441,0.0059269727
2009-05-01 10:07:11.470,1.7392006,0.0064743855
2009-05-01 10:07:42.685,1.7455199,0.006054283
2009-05-01 10:07:47.146,1.7457914,0.0059016435
2009-05-01 11:21:53.156,1.759734,0.010507633
2009-05-01 11:21:57.617,1.7735357,0.008819657
2009-05-01 11:22:19.912,1.752199,0.008327046
2009-05-01 11:22:24.374,1.7584876,0.0116345845
2009-05-01 11:22:37.751,1.8007606,0.0075996937
2009-05-01 11:22:42.212,1.7821652,0.007971595
2009-05-01 11:22:46.669,1.7628983,0.00798697
2009-05-01 11:23:00.049,1.7730136,0.00708556
2009-05-01 11:23:04.507,1.7854503,0.0073116287
2009-05-01 11:23:22.345,1.7602726,0.006758671
2009-05-01 11:23:40.182,1.7687849,0.006352
2009-05-01 11:23:49.101,1.7791164,0.006585465
2009-05-01 11:23:53.562,1.7686485,0.0062623825
2009-05-01 11:23:58.019,1.7866508,0.0066619283
2009-05-01 11:24:11.400,1.7769048,0.0074048364
2009-05-02 10:23:46.900,1.7512766,0.0063433177
2009-05-02 10:23:51.357,1.7907742,0.0058603473
2009-05-02 10:24:31.494,1.7718477,0.0061668293
2009-05-02 10:29:12.437,1.7932619,0.006944951
2009-05-02 10:30:01.492,1.7877882,0.0064189876
2009-05-02 10:34:33.517,1.782804,0.0063303313
2009-05-02 10:38:07.570,1.7551272,0.0063782954
2009-05-02 10:38:12.032,1.7728778,0.0062124943
2009-05-02 10:38:29.869,1.7597113,0.006384575
2009-05-02 10:39:01.083,1.7643006,0.0058664023
2009-05-02 10:39:05.545,1.7536023,0.005816453
2009-05-02 10:39:10.003,1.7537382,0.0056609972
2009-05-02 10:39:45.678,1.7670944,0.0063684364
2009-05-02 10:39:50.140,1.7593654,0.0057022288
2009-05-04 11:21:42.765,1.7610762,0.010615023
2009-05-04 11:22:22.906,1.7913965,0.009203468
2009-05-04 11:22:31.824,1.7866539,0.007890454
2009-05-04 11:22:36.278,1.7953639,0.008508363
2009-05-04 11:23:07.499,1.77247,0.0070817694
2009-05-04 11:23:52.094,1.7680397,0.006312909
2009-05-04 11:24:14.385,1.7839029,0.006375592
2009-05-04 11:24:23.303,1.7841865,0.00633031
2009-05-04 11:24:27.769,1.7778345,0.006181933
2009-05-04 11:24:36.688,1.770933,0.0060958597
2009-05-04 11:24:58.979,1.7933863,0.00678178
2009-05-04 11:25:03.444,1.7755905,0.0059636594
2009-05-17 10:28:18.279,1.8008184,0.007942677
2009-05-17 10:28:22.693,1.7835656,0.0082151005
2009-05-17 10:28:27.107,1.789252,0.007874738
2009-05-17 10:28:31.521,1.7805564,0.007698888
2009-05-17 10:28:35.935,1.7799311,0.00768354
2009-05-17 10:28:40.348,1.7874372,0.0075629675
2009-05-17 10:28:44.762,1.793561,0.007010105
2009-05-17 10:28:49.176,1.7898976,0.007065064
2009-05-17 10:28:53.590,1.7845016,0.007086228
2009-05-17 10:28:58.003,1.7899098,0.0065995674
2009-05-17 10:29:02.417,1.779455,0.006922073
2009-05-17 10:29:06.831,1.7768174,0.006848942
2009-05-17 10:29:11.245,1.7680124,0.007606478
2009-05-17 10:29:15.658,1.7806286,0.0075112632
2009-05-17 10:29:20.073,1.7711414,0.0076996833
2009-05-17 10:29:24.486,1.7715888,0.00871613
2009-05-17 10:29:46.555,1.7746619,0.0069268164
2009-05-17 10:35:08.760,1.7676767,0.006441755
2009-05-17 10:35:13.174,1.7723378,0.0064517865
2009-05-17 10:35:17.588,1.7727758,0.0065922863
2009-05-17 10:35:35.242,1.762056,0.006306933
2009-05-17 10:35:39.656,1.7613956,0.006431836
2009-05-17 10:35:44.070,1.7595168,0.0064713014
2009-05-17 10:35:48.484,1.7832922,0.0064134453
2009-05-17 10:35:52.898,1.7720358,0.006441373
2009-05-17 10:35:57.311,1.7783551,0.0064946697
2009-05-17 10:36:14.967,1.7554625,0.006512264
2009-05-17 10:37:16.760,1.7884675,0.006878441
2009-05-17 10:38:14.138,1.7616999,0.0064439997
2009-05-17 10:38:18.552,1.7564014,0.0064945375
2009-05-17 10:38:22.965,1.7533206,0.00649424
2009-05-17 10:38:27.380,1.7541535,0.006807957
2009-05-17 10:38:31.793,1.7589226,0.006912087
2009-05-17 10:38:36.207,1.7553889,0.0069856793
2009-05-17 10:38:40.620,1.7545626,0.0065038297
2009-05-17 10:38:45.035,1.7663752,0.0065031555
2009-05-17 10:38:49.448,1.7556592,0.0066780723
2009-05-17 11:53:02.942,1.7585608,0.009049858
2009-05-17 11:53:07.355,1.7632968,0.008941666
2009-05-17 11:53:11.769,1.7654079,0.0088862125
2009-05-17 11:53:29.425,1.7725782,0.009803248
2009-05-17 11:53:33.838,1.7674446,0.009637328
2009-05-17 11:53:38.252,1.7500081,0.00946148
2009-05-17 11:53:42.665,1.7740127,0.007863104
2009-05-17 11:53:47.080,1.7630165,0.0076869507
2009-05-17 11:53:51.493,1.7679797,0.0077066016
2009-05-17 11:54:00.320,1.7662525,0.009693607
2009-05-17 11:54:04.734,1.7927585,0.010277758
2009-05-17 11:54:13.562,1.7684219,0.0076726815
2009-05-17 11:54:17.976,1.7676413,0.007608571
2009-05-18 10:49:17.862,1.7706921,0.008561467
2009-05-18 10:50:02.457,1.7889667,0.0074557667
2009-05-18 10:54:43.400,1.7790326,0.0063527296
2009-05-18 10:54:47.860,1.7805287,0.0059196292
2009-05-18 10:55:05.698,1.7662439,0.0062893056
2009-05-18 10:55:27.995,1.765048,0.0058172136
2009-05-18 10:55:54.751,1.7680718,0.006113918
2009-05-18 10:56:48.264,1.7749417,0.014109495
2009-05-18 11:00:44.615,1.8017131,0.0068720067
2009-05-18 11:00:53.534,1.7773892,0.007082042
2009-05-18 11:01:02.453,1.8007412,0.00675488
2009-05-18 11:01:29.209,1.8113608,0.0063592773
2009-05-18 11:01:33.668,1.7953403,0.006627965
2009-05-18 11:01:38.128,1.8153698,0.007200763
2009-05-18 11:02:13.803,1.8029963,0.006544129
2009-05-18 11:02:22.722,1.79946,0.006908762
2009-05-18 11:02:58.398,1.790064,0.0071805897
2009-05-18 12:26:21.795,1.772332,0.008198215
2009-05-28 10:05:19.445,1.7442364,0.0067575187
2009-05-28 11:25:31.128,1.7989143,0.0064075766
2009-05-28 11:28:38.424,1.7797891,0.0058345115
2009-05-29 10:23:01.211,1.7888563,0.0059917327
2009-05-29 10:24:30.398,1.7887772,0.006178893
2009-05-29 10:24:39.317,1.7956605,0.005787211
2009-05-29 10:25:10.527,1.7947956,0.0057928283
2009-05-29 10:25:14.992,1.7899402,0.005878628
2009-05-29 10:25:23.910,1.7747217,0.0063304733
2009-05-29 10:25:55.120,1.7846943,0.0058647743
2009-05-29 10:25:59.585,1.7623674,0.006859391
2009-05-29 10:26:08.503,1.7661364,0.008488564
2009-05-29 10:26:39.713,1.788445,0.0065090167
2009-05-29 10:35:48.215,1.7641392,0.006879756
2009-05-29 10:36:10.507,1.7828869,0.0062739775
2009-05-29 10:36:19.425,1.7824936,0.007124357
2009-05-29 10:36:32.808,1.7758474,0.007095919
2009-05-29 10:36:41.727,1.7715468,0.006292198
2009-05-29 10:37:21.856,1.7546064,0.0064127683
2009-05-29 10:37:30.774,1.7629763,0.0062892605
2009-05-29 10:37:44.158,1.7622383,0.0063330596
2009-05-29 10:38:10.914,1.7577083,0.006415207
2009-05-29 10:38:15.368,1.7453198,0.006474493
2009-05-29 10:38:24.286,1.7441897,0.005987661
2009-05-29 10:38:28.751,1.7533485,0.0068888855
2009-05-29 10:38:51.042,1.7645134,0.00641865
2009-05-29 10:38:55.507,1.7355635,0.005922503
2009-05-29 10:38:59.961,1.7393864,0.0063006217
2009-05-29 10:39:08.880,1.7450895,0.0059639085
2009-05-29 10:39:44.554,1.736752,0.006330644
2009-05-29 10:40:24.694,1.749257,0.006797878
2009-05-29 10:41:13.741,1.7412297,0.007567874
2009-05-29 11:53:42.147,1.7683204,0.008242964
2009-05-29 11:53:46.601,1.7695225,0.008027539
2009-05-29 11:54:13.358,1.766227,0.007707902
2009-05-29 11:54:17.823,1.7657421,0.00727205
2009-05-29 11:54:57.952,1.7897574,0.006431745
2009-05-30 10:49:16.842,1.7662832,0.007911885
2009-05-30 10:49:56.977,1.7801021,0.0071511483
2009-05-30 10:50:01.436,1.769132,0.0062862965
2009-05-30 10:50:37.112,1.7811105,0.0066301343
2009-05-30 10:50:41.571,1.7651607,0.0063834693
2009-05-30 10:50:50.489,1.7743655,0.0065081962
2009-05-30 10:54:46.840,1.7394724,0.0062106894
2009-05-30 10:54:55.759,1.7676452,0.0063232076
2009-05-30 10:55:00.218,1.785046,0.0065464037
2009-05-30 10:55:22.515,1.7638131,0.0058333958
