,xco2_biascorrected,xco2_uncertainty
2009-04-23 10:23:11.760,389.5464,0.92240506
2009-04-23 10:23:51.896,388.27362,0.9898307
2009-04-23 10:27:03.651,390.5727,1.0967567
2009-04-23 10:27:39.326,389.54193,1.1539623
2009-04-23 10:27:43.787,391.7303,1.1451538
2009-04-23 10:28:15.001,392.13123,1.1532831
2009-04-23 10:28:19.462,389.42743,0.9612173
2009-04-23 10:28:50.677,389.4246,1.2205204
2009-04-23 10:28:55.137,390.46265,1.102617
2009-04-23 10:29:17.434,390.48672,1.0639669
2009-04-23 10:29:21.894,388.5073,1.1300617
2009-04-23 10:29:35.272,389.20813,1.0615641
2009-04-23 10:29:39.731,392.23718,1.2637902
2009-04-23 10:30:15.407,384.1914,1.0502594
2009-04-23 10:30:51.082,388.1359,1.1150781
2009-04-23 10:38:30.404,381.77267,0.89437014
2009-04-23 10:38:57.160,383.81332,0.9103439
2009-04-23 10:40:30.809,382.59915,0.9537573
2009-04-23 10:40:35.269,384.2514,1.0125704
2009-04-23 10:40:39.728,384.66138,0.9435115
2009-04-23 10:40:44.187,383.86337,0.92824304
2009-04-23 10:41:19.863,383.73752,0.9420744
2009-04-24 10:53:54.342,387.97687,0.8581341
2009-04-24 10:55:54.747,388.6216,0.8984655
2009-04-24 11:00:49.069,388.59595,1.0045477
2009-04-24 11:01:15.826,387.49606,1.0381789
2009-04-25 10:04:43.162,381.4808,0.9142405
2009-04-25 10:05:05.458,381.3628,0.9500304
2009-04-25 10:05:14.377,382.77686,0.87820333
2009-04-25 10:05:23.296,383.2908,1.0797275
2009-04-25 10:08:17.217,381.75452,0.9176997
2009-04-25 10:08:57.350,380.51828,0.92956364
2009-04-25 11:25:03.759,387.65176,1.0146018
2009-04-25 11:27:30.922,386.99307,0.97515935
2009-04-26 10:24:57.052,389.17908,1.0060552
2009-04-26 10:28:57.862,390.01804,1.3283736
2009-04-26 10:29:11.242,392.66888,1.0310057
2009-04-26 10:30:00.295,387.81885,1.0244775
2009-04-26 10:37:48.537,383.42422,0.88552237
2009-04-26 10:37:57.456,383.4062,0.824402
2009-04-26 10:38:01.914,383.6237,0.8324014
2009-04-26 10:38:06.376,382.20114,0.9353387
2009-04-26 10:38:46.508,382.767,0.8411368
2009-04-26 10:39:22.184,383.04108,0.84480286
2009-04-26 10:39:26.645,381.44266,0.86873174
2009-04-26 10:39:31.102,383.7599,0.87753224
2009-04-26 10:39:35.564,381.8411,0.8392117
2009-04-26 10:40:11.239,382.03308,0.86702776
2009-04-26 10:40:20.158,381.08047,0.97560877
2009-04-26 11:54:39.502,387.61234,1.5482874
2009-04-26 11:55:15.177,385.1963,0.9938334
2009-04-26 11:55:19.634,389.2023,1.1962553
2009-04-26 11:55:24.096,386.1714,1.1771898
2009-04-26 11:56:08.689,388.64313,0.96302193
2009-04-27 10:52:23.506,387.02286,0.9087104
2009-04-27 10:52:27.967,388.0603,0.92319065
2009-04-27 10:52:32.425,386.97464,0.92694247
2009-04-27 10:52:36.887,386.6715,0.95076376
2009-04-27 10:52:41.344,388.67123,0.9525118
2009-04-27 10:53:03.643,387.5927,0.9713239
2009-04-27 10:53:08.100,388.6086,0.905006
2009-04-27 10:53:12.562,388.0604,0.912309
2009-04-27 10:53:17.019,387.65634,0.90151465
2009-04-27 10:53:21.480,386.9963,0.909638
2009-04-27 10:53:43.776,389.1596,0.8777273
2009-04-27 10:57:17.828,388.0644,0.96347636
2009-04-27 10:57:22.290,389.28812,0.91156375
2009-04-27 10:57:49.046,392.34045,1.2252237
2009-04-27 10:57:57.964,385.91998,0.8703851
2009-04-27 10:58:06.884,386.46033,1.0689946
2009-04-27 10:58:11.342,389.46753,1.0412693
2009-04-27 10:58:15.803,387.10275,0.8993573
2009-04-27 10:58:20.260,386.94006,0.88736326
2009-04-27 10:58:33.641,386.58923,0.827374
2009-04-27 10:58:38.098,387.22717,0.8591732
2009-04-27 10:58:42.559,388.94748,1.0483553
2009-04-27 10:58:55.936,387.3316,0.9655371
2009-04-27 10:59:00.397,388.1369,0.8626606
2009-04-27 10:59:04.854,387.09982,0.8227785
2009-04-27 10:59:18.234,387.34738,0.88124985
2009-04-27 10:59:22.692,385.91653,0.86961716
2009-04-27 10:59:44.991,387.02255,0.9782666
2009-04-28 10:07:04.251,383.88016,0.9400141
2009-04-28 10:07:08.709,383.05734,0.8776426
2009-04-28 10:07:13.170,383.56973,0.97009337
2009-04-28 10:07:48.846,382.6716,0.8723809
2009-04-28 11:24:04.181,387.9048,0.9783408
2009-04-28 11:24:08.639,387.90015,0.9604574
2009-04-28 11:24:13.100,389.90536,1.0154666
2009-04-28 11:24:17.557,388.55667,0.95491225
2009-04-28 11:24:44.314,387.585,0.9178304
2009-04-28 11:24:48.775,386.33365,0.87286097
2009-04-28 11:24:53.233,387.9596,0.9304814
2009-04-28 11:24:57.694,386.37817,0.88375974
2009-04-28 11:25:02.152,387.11423,1.0007045
2009-04-29 10:28:11.090,390.2671,1.1632183
2009-04-29 10:28:46.765,389.51968,1.13028
2009-04-29 10:28:51.226,391.42825,1.0508962
2009-04-29 10:29:13.520,389.8725,1.1592538
2009-04-29 10:29:17.982,388.60544,1.0267335
2009-04-29 10:35:41.484,381.48572,1.0798521
2009-04-29 10:35:50.402,382.77414,0.9760926
2009-04-29 10:38:57.694,382.4678,0.8568142
2009-04-29 10:39:02.151,382.48923,0.8504096
2009-04-29 10:39:06.612,383.62842,0.8601184
2009-04-29 10:39:11.070,384.4323,0.8458233
2009-04-29 10:39:42.288,383.57806,0.8598865
2009-04-29 10:39:46.744,384.68414,0.9264112
2009-04-29 10:39:51.206,384.45584,0.8563782
2009-04-29 10:39:55.664,384.55966,1.0920693
2009-04-29 10:40:26.880,383.36716,0.99314904
2009-04-29 10:40:31.338,386.47852,0.9694517
2009-04-29 10:40:35.800,385.26892,0.94600284
2009-04-29 10:40:40.257,383.07404,0.9201505
2009-04-29 11:53:44.319,392.13098,1.9285648
2009-04-29 11:56:02.558,386.25195,0.9377286
2009-04-30 10:49:50.180,388.18472,1.3135953
2009-04-30 10:57:42.880,386.4551,1.0467687
2009-04-30 10:58:14.097,388.8079,1.0458884
2009-05-01 10:05:28.900,381.18335,1.0884042
2009-05-01 10:05:42.281,383.17953,0.9906136
2009-05-01 10:06:17.956,384.23236,1.0231797
2009-05-01 10:06:22.414,381.99835,0.95613486
2009-05-01 10:07:02.552,383.34424,0.95247495
2009-05-01 10:07:07.009,382.85406,0.88464415
2009-05-01 10:07:11.470,383.341,0.9744248
2009-05-01 10:07:42.685,383.59723,0.89420164
2009-05-01 10:07:47.146,382.68103,0.8736857
2009-05-01 11:21:53.156,388.45337,1.5598856
2009-05-01 11:21:57.617,389.63727,1.3303511
2009-05-01 11:22:19.912,387.84836,1.2583466
2009-05-01 11:22:24.374,389.3014,1.843154
